year,GEOID,NAME,B25001_001E,B25002_003E,B25032_001E,B25032_013E,B25008_003E,B25119_003E,B25037_003E,B25039_003E,B25064_001E,B25071_001E,B25013_011E,B25003H_003E,B25003B_003E,B25003D_003E,B25003I_003E,B17017_001E,B17017_002E
2018,36047064200,"Census Tract 642, Kings County, New York",942,80,862,521,1117,41250,1941,2006,1237,33,235,389,49,5,71,862,189
2019,36047064200,"Census Tract 642, Kings County, New York",979,110,869,533,1098,46331,1941,2006,1306,30.6,225,404,50,14,59,869,158
2020,36047064200,"Census Tract 642, Kings County, New York",949,105,844,487,1063,41083,1940,2007,1340,30.1,215,371,53,25,33,844,146
2012,36047064400,"Census Tract 644, Kings County, New York",903,115,788,283,655,56050,1942,2004,1117,18.9,82,228,0,0,55,788,74
2013,36047064400,"Census Tract 644, Kings County, New York",901,142,759,328,716,78241,1943,2006,1226,18,80,254,5,11,58,759,108
2014,36047064400,"Census Tract 644, Kings County, New York",913,79,834,306,740,79583,1941,2011,1225,18.8,91,222,2,15,67,834,118
2015,36047064400,"Census Tract 644, Kings County, New York",878,91,787,226,616,65476,1942,2012,1212,25.6,67,150,4,14,58,787,116
2016,36047064400,"Census Tract 644, Kings County, New York",938,95,843,251,685,65739,1943,2011,1307,25.5,73,155,4,16,76,843,122
2017,36047064400,"Census Tract 644, Kings County, New York",934,89,845,262,808,66544,1939,2012,1444,31.5,99,146,6,33,77,845,84
2018,36047064400,"Census Tract 644, Kings County, New York",912,57,855,245,737,68125,0,2012,1554,33,95,119,0,26,100,855,59
2019,36047064400,"Census Tract 644, Kings County, New York",898,81,817,272,826,70234,1940,2011,1572,32.3,85,113,0,58,101,817,71
2020,36047064400,"Census Tract 644, Kings County, New York",912,50,862,306,1000,57500,0,2012,1759,40.3,89,133,0,58,74,862,110
2012,36047064600,"Census Tract 646, Kings County, New York",717,10,707,183,513,47019,1939,2006,1356,31.9,73,87,26,17,49,707,73
2013,36047064600,"Census Tract 646, Kings County, New York",716,12,704,192,526,55000,1939,2006,1371,32.5,76,94,28,9,57,704,72
2014,36047064600,"Census Tract 646, Kings County, New York",739,12,727,200,543,60313,1939,2006,1354,31.9,79,94,30,12,60,727,40
2015,36047064600,"Census Tract 646, Kings County, New York",702,25,677,150,410,73875,1939,2011,1431,26.5,81,128,0,11,0,677,23
2016,36047064600,"Census Tract 646, Kings County, New York",699,39,660,117,295,87583,1939,2012,1494,24.6,57,109,0,0,0,660,28
2017,36047064600,"Census Tract 646, Kings County, New York",696,23,673,89,240,64219,1944,2012,1486,23.9,53,67,13,0,0,673,25
2018,36047064600,"Census Tract 646, Kings County, New York",691,25,666,125,382,NA,0,2014,1363,23.8,77,100,15,0,0,666,30
2019,36047064600,"Census Tract 646, Kings County, New York",676,29,647,145,447,64491,0,2014,1323,23.5,100,104,27,6,0,647,33
2020,36047064600,"Census Tract 646, Kings County, New York",696,25,671,130,327,62768,0,2016,1277,22.8,67,70,28,32,0,671,46
2012,36047064800,"Census Tract 648, Kings County, New York",715,68,647,149,445,32150,1939,2005,1174,28.8,56,39,110,0,30,647,63
2013,36047064800,"Census Tract 648, Kings County, New York",714,69,645,158,437,32404,1939,2005,1214,28.5,54,35,108,15,27,645,43
2014,36047064800,"Census Tract 648, Kings County, New York",729,48,681,197,548,34375,1939,2008,1313,41.5,53,31,149,17,31,681,60
2015,36047064800,"Census Tract 648, Kings County, New York",717,68,649,202,572,NA,1939,2008,1432,29.7,26,52,134,16,29,649,61
2016,36047064800,"Census Tract 648, Kings County, New York",713,73,640,187,632,67831,1939,2010,1495,27.2,35,83,83,21,34,640,44
2017,36047064800,"Census Tract 648, Kings County, New York",723,73,650,176,513,61607,1943,2005,1479,43.4,32,74,87,15,0,650,39
2018,36047064800,"Census Tract 648, Kings County, New York",687,63,624,169,520,64554,1942,2005,1592,42.6,37,81,88,0,0,624,46
2019,36047064800,"Census Tract 648, Kings County, New York",680,69,611,135,482,81576,1951,2001,1750,23.1,40,75,60,0,0,611,13
2020,36047064800,"Census Tract 648, Kings County, New York",709,56,653,131,495,101625,1954,2007,1898,22.9,47,70,61,0,0,653,10
2012,36047065000,"Census Tract 650, Kings County, New York",516,18,498,166,423,36964,1945,2002,969,30.2,74,42,110,0,14,498,79
2013,36047065000,"Census Tract 650, Kings County, New York",542,12,530,179,442,36845,1941,2004,1021,32.5,57,40,118,0,21,530,85
2014,36047065000,"Census Tract 650, Kings County, New York",536,23,513,166,394,39250,1950,2004,1132,31.6,53,59,71,16,20,513,67
2015,36047065000,"Census Tract 650, Kings County, New York",529,30,499,158,325,38043,1951,2008,1272,33.8,29,65,44,26,23,499,65
2016,36047065000,"Census Tract 650, Kings County, New York",509,25,484,165,393,27422,1955,2010,1475,42.5,44,51,61,35,18,484,112
2017,36047065000,"Census Tract 650, Kings County, New York",515,13,502,176,544,33594,1951,2011,1492,33.5,36,48,82,29,29,502,100
2018,36047065000,"Census Tract 650, Kings County, New York",513,11,502,164,538,55962,1953,2010,1439,28.7,52,50,70,29,31,502,87
2019,36047065000,"Census Tract 650, Kings County, New York",508,19,489,187,547,69554,1954,2009,1397,26,82,40,102,21,41,489,73
2020,36047065000,"Census Tract 650, Kings County, New York",520,15,505,201,523,69432,1950,2007,1382,24.6,61,29,115,7,65,505,54
2012,36047065200,"Census Tract 652, Kings County, New York",507,42,465,91,272,79315,1948,1997,1162,14.6,31,82,0,9,0,465,49
2013,36047065200,"Census Tract 652, Kings County, New York",522,60,462,89,186,59875,1945,2003,1171,10,56,79,0,10,0,462,20
2014,36047065200,"Census Tract 652, Kings County, New York",540,62,478,76,125,87500,1947,2006,1125,18,45,66,0,10,0,478,10
2015,36047065200,"Census Tract 652, Kings County, New York",516,23,493,124,200,NA,1947,2010,1096,40.3,74,124,0,0,0,493,34
2016,36047065200,"Census Tract 652, Kings County, New York",521,39,482,120,175,40735,1945,2011,1048,44.1,72,120,0,0,0,482,18
2017,36047065200,"Census Tract 652, Kings County, New York",521,37,484,109,158,40486,1952,2011,1295,45.6,70,109,0,0,0,484,21
2018,36047065200,"Census Tract 652, Kings County, New York",525,27,498,94,164,44844,0,2012,975,19,51,88,0,0,6,498,21
2019,36047065200,"Census Tract 652, Kings County, New York",486,17,469,96,176,56250,0,2013,868,14.2,60,90,0,0,6,469,25
2020,36047065200,"Census Tract 652, Kings County, New York",497,37,460,69,135,61813,0,2017,1599,29.6,53,63,0,0,6,460,12
2012,36047065400,"Census Tract 654, Kings County, New York",600,21,579,44,97,25455,1939,2004,1167,28.5,5,44,0,0,0,579,46
2013,36047065400,"Census Tract 654, Kings County, New York",610,21,589,51,125,25859,1939,2003,1528,29.1,6,51,0,0,0,589,72
2014,36047065400,"Census Tract 654, Kings County, New York",620,0,620,32,43,9853,1939,2006,247,26.8,5,32,0,0,0,620,61
2015,36047065400,"Census Tract 654, Kings County, New York",617,5,612,34,50,NA,1939,2007,NA,27,5,34,0,0,0,612,51
2016,36047065400,"Census Tract 654, Kings County, New York",602,8,594,18,42,71250,1939,2013,1500,25,4,18,0,0,0,594,37
2017,36047065400,"Census Tract 654, Kings County, New York",588,24,564,25,48,NA,1952,2008,1625,50,10,25,0,0,0,564,35
2018,36047065400,"Census Tract 654, Kings County, New York",590,43,547,38,75,NA,0,2014,1711,26,23,38,0,0,0,547,26
2019,36047065400,"Census Tract 654, Kings County, New York",584,45,539,57,113,NA,1951,2018,2040,25.5,25,57,0,0,0,539,45
2020,36047065400,"Census Tract 654, Kings County, New York",570,28,542,74,186,NA,0,2009,2560,32.1,49,74,0,0,0,542,30
2012,36047065600,"Census Tract 656, Kings County, New York",633,6,627,55,106,28625,1945,2005,NA,NA,0,55,0,0,0,627,107
2013,36047065600,"Census Tract 656, Kings County, New York",639,7,632,43,82,NA,NA,NA,NA,NA,0,43,0,0,0,632,99
2014,36047065600,"Census Tract 656, Kings County, New York",645,6,639,28,39,30978,1939,2011,NA,NA,6,11,0,0,17,639,78
2015,36047065600,"Census Tract 656, Kings County, New York",648,19,629,34,55,30568,1939,2012,NA,NA,7,19,0,0,15,629,73
2016,36047065600,"Census Tract 656, Kings County, New York",637,11,626,73,154,56141,1939,2014,1211,30.4,8,38,0,0,35,626,56
2017,36047065600,"Census Tract 656, Kings County, New York",633,17,616,76,186,59342,1939,2013,2008,31.6,6,44,0,0,32,616,55
2018,36047065600,"Census Tract 656, Kings County, New York",643,14,629,106,223,58625,0,2015,1151,27.9,6,45,8,0,53,629,41
2019,36047065600,"Census Tract 656, Kings County, New York",625,21,604,96,211,61979,0,2016,1149,26.5,0,41,8,0,47,604,21
2020,36047065600,"Census Tract 656, Kings County, New York",650,6,644,91,195,68750,0,2016,1175,27,10,41,9,0,41,644,12
2012,36047065800,"Census Tract 658, Kings County, New York",748,47,701,115,264,43264,1943,2003,1131,29.7,52,106,0,0,9,701,45
2013,36047065800,"Census Tract 658, Kings County, New York",769,50,719,118,263,32206,1945,2004,1158,31.9,59,110,0,0,8,719,49
2014,36047065800,"Census Tract 658, Kings County, New York",778,43,735,95,223,37361,1944,2006,1149,30.8,64,95,0,0,0,735,38
2015,36047065800,"Census Tract 658, Kings County, New York",787,70,717,134,325,35962,1945,2007,1168,37.4,66,114,0,14,6,717,60
2016,36047065800,"Census Tract 658, Kings County, New York",791,56,735,145,368,36023,1939,2012,1162,39.8,58,123,0,16,6,735,24
2017,36047065800,"Census Tract 658, Kings County, New York",774,58,716,115,330,50750,1950,2011,1375,37.9,40,91,0,17,7,716,21
2018,36047065800,"Census Tract 658, Kings County, New York",778,77,701,118,343,61250,1946,2010,1250,36.2,33,87,0,17,14,701,23
2019,36047065800,"Census Tract 658, Kings County, New York",770,117,653,115,309,53365,1944,2012,1509,39,32,68,6,26,21,653,32
2020,36047065800,"Census Tract 658, Kings County, New York",742,93,649,95,210,48542,0,2011,1528,44.6,20,61,6,6,28,649,22
2012,36047066000,"Census Tract 660, Kings County, New York",711,55,656,23,58,62656,1939,1983,1330,50,15,23,0,0,0,656,56
2013,36047066000,"Census Tract 660, Kings County, New York",743,86,657,27,97,192750,1961,1994,NA,NA,19,27,0,0,0,657,43
2014,36047066000,"Census Tract 660, Kings County, New York",770,84,686,25,92,197596,1960,1993,NA,NA,17,25,0,0,0,686,22
2015,36047066000,"Census Tract 660, Kings County, New York",758,77,681,25,104,198047,1962,1998,1609,13,20,25,0,0,0,681,4
2016,36047066000,"Census Tract 660, Kings County, New York",752,64,688,32,107,NA,1965,2003,1472,14,23,32,0,0,0,688,4
2017,36047066000,"Census Tract 660, Kings County, New York",759,49,710,34,104,NA,1965,1998,1444,14.3,25,34,0,0,0,710,9
2018,36047066000,"Census Tract 660, Kings County, New York",738,20,718,18,27,NA,1972,2008,1225,36,10,18,0,0,0,718,10
2019,36047066000,"Census Tract 660, Kings County, New York",716,37,679,34,43,41071,1956,2011,1500,42.1,11,34,0,0,0,679,11
2020,36047066000,"Census Tract 660, Kings County, New York",752,25,727,94,193,95882,0,2020,1746,23.3,61,93,0,1,0,727,12
2012,36047066200,"Census Tract 662, Kings County, New York",636,72,564,157,380,70156,1981,2002,1227,26.5,40,116,0,0,41,564,17
2013,36047066200,"Census Tract 662, Kings County, New York",641,49,592,154,261,36346,1975,2005,1139,41.4,50,127,0,0,27,592,33
2014,36047066200,"Census Tract 662, Kings County, New York",633,48,585,138,232,41750,1957,2003,1069,35.6,43,107,0,0,31,585,12
2015,36047066200,"Census Tract 662, Kings County, New York",642,45,597,128,263,41176,1956,2006,1246,37.3,24,96,0,0,32,597,28
2016,36047066200,"Census Tract 662, Kings County, New York",644,35,609,147,311,40078,1956,2007,1295,39.7,24,108,0,0,39,609,42
2017,36047066200,"Census Tract 662, Kings County, New York",646,21,625,131,261,76146,1959,2006,1323,20.3,24,103,0,0,28,625,52
2018,36047066200,"Census Tract 662, Kings County, New York",648,22,626,119,266,96528,1961,1999,1439,16.9,24,77,0,4,38,626,38
2019,36047066200,"Census Tract 662, Kings County, New York",630,53,577,108,267,78750,1968,2007,1554,19.4,25,93,0,4,11,577,50
2020,36047066200,"Census Tract 662, Kings County, New York",645,71,574,120,240,48500,1969,2004,1399,32.1,31,89,14,5,12,574,43
2012,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2013,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2014,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2015,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2016,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2017,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2018,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2019,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2020,36047066600,"Census Tract 666, Kings County, New York",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
2012,36047067000,"Census Tract 670, Kings County, New York",1103,42,1061,543,1463,46313,1958,2005,1450,34.3,89,128,339,0,101,1061,89
2013,36047067000,"Census Tract 670, Kings County, New York",1075,51,1024,433,1145,44145,1959,2005,1419,36.2,67,71,279,0,83,1024,81
2014,36047067000,"Census Tract 670, Kings County, New York",1077,55,1022,477,1254,49688,1961,2006,1430,33.7,49,90,317,0,70,1022,84
2015,36047067000,"Census Tract 670, Kings County, New York",1081,95,986,502,1327,50658,1960,2006,1447,32.5,79,79,333,5,86,986,114
2016,36047067000,"Census Tract 670, Kings County, New York",1077,98,979,428,1198,62576,1961,2007,1569,30,98,59,308,5,86,979,112
2017,36047067000,"Census Tract 670, Kings County, New York",1052,104,948,385,1091,61369,1959,2008,1551,31.1,103,72,259,5,73,948,106
2018,36047067000,"Census Tract 670, Kings County, New York",1081,92,989,456,1253,62619,1960,2010,1606,29.3,128,79,312,18,72,989,97
2019,36047067000,"Census Tract 670, Kings County, New York",1100,84,1016,416,1090,64000,1959,2011,1667,28.7,132,66,269,30,78,1016,105
2020,36047067000,"Census Tract 670, Kings County, New York",1168,94,1074,514,1169,77011,1962,2013,1686,27.4,212,153,265,21,61,1074,103
2012,36047067200,"Census Tract 672, Kings County, New York",464,18,446,179,567,30964,1939,2006,1471,50,0,6,142,0,31,446,33
2013,36047067200,"Census Tract 672, Kings County, New York",464,30,434,173,512,44083,1939,2009,1566,50,32,7,149,0,17,434,31
2014,36047067200,"Census Tract 672, Kings County, New York",467,26,441,163,543,50380,1939,2009,1480,50,23,13,125,0,25,441,67
2015,36047067200,"Census Tract 672, Kings County, New York",479,41,438,124,412,52159,1939,2010,1375,33.8,27,9,82,0,33,438,56
2016,36047067200,"Census Tract 672, Kings County, New York",491,42,449,139,399,51806,1939,2011,1329,33.9,40,16,100,0,23,449,47
2017,36047067200,"Census Tract 672, Kings County, New York",500,38,462,125,298,70078,1939,2011,1347,30.1,57,17,98,0,10,462,40
2018,36047067200,"Census Tract 672, Kings County, New York",497,31,466,143,470,62750,0,2013,1366,33.8,35,27,69,37,10,466,32
2019,36047067200,"Census Tract 672, Kings County, New York",498,33,465,133,391,51420,1943,2014,1438,37.3,36,34,60,27,12,465,11
2020,36047067200,"Census Tract 672, Kings County, New York",576,6,570,114,450,54048,0,2016,1821,41.8,21,37,33,23,21,570,15
2012,36047067400,"Census Tract 674, Kings County, New York",673,25,648,202,722,39545,1952,2006,1602,44.1,25,23,112,0,75,648,29
2013,36047067400,"Census Tract 674, Kings County, New York",674,32,642,173,567,39583,1954,2006,1470,27.9,0,29,96,0,64,642,67
2014,36047067400,"Census Tract 674, Kings County, New York",665,35,630,154,451,62692,1954,2008,1565,29.7,0,31,106,0,34,630,26
2015,36047067400,"Census Tract 674, Kings County, New York",662,40,622,131,449,36094,1954,2010,1616,50,8,0,120,0,26,622,21
2016,36047067400,"Census Tract 674, Kings County, New York",660,13,647,128,497,33382,1953,2012,1614,50,13,19,78,0,34,647,81
2017,36047067400,"Census Tract 674, Kings County, New York",660,49,611,148,607,34857,1939,2012,1588,39.6,16,18,92,0,17,611,68
2018,36047067400,"Census Tract 674, Kings County, New York",629,54,575,125,538,35804,1945,2012,1702,51,20,14,80,0,14,575,39
2019,36047067400,"Census Tract 674, Kings County, New York",628,68,560,144,640,45769,0,2012,1665,29.8,37,19,81,5,17,560,56
2020,36047067400,"Census Tract 674, Kings County, New York",655,102,553,145,513,45341,0,2011,1659,29.1,32,15,77,13,22,553,49
2012,36047067600,"Census Tract 676, Kings County, New York",653,16,637,155,560,27868,1945,2005,1308,49.4,52,40,98,0,17,637,55
2013,36047067600,"Census Tract 676, Kings County, New York",639,15,624,141,347,60058,1948,2005,1301,49,58,42,81,8,10,624,31
2014,36047067600,"Census Tract 676, Kings County, New York",626,13,613,120,278,60500,1951,2008,1754,41.5,47,29,78,6,7,613,25
2015,36047067600,"Census Tract 676, Kings County, New York",624,13,611,92,289,NA,1953,2011,1557,50,11,0,81,5,6,611,20
2016,36047067600,"Census Tract 676, Kings County, New York",632,12,620,158,518,71667,1950,2011,1792,48.8,60,0,147,5,24,620,20
2017,36047067600,"Census Tract 676, Kings County, New York",637,25,612,173,485,72917,1947,2011,1690,43.9,63,0,167,6,15,612,27
2018,36047067600,"Census Tract 676, Kings County, New York",587,34,553,195,640,72250,1947,2013,1720,41.1,60,0,195,0,20,553,40
2019,36047067600,"Census Tract 676, Kings County, New York",613,41,572,239,797,75350,1947,2015,1668,37.5,77,0,219,0,51,572,37
2020,36047067600,"Census Tract 676, Kings County, New York",591,46,545,242,823,74250,1949,2016,1721,37.8,83,12,194,0,73,545,63
2012,36047067800,"Census Tract 678, Kings County, New York",931,37,894,384,991,73438,1956,2004,1379,24,133,63,309,0,12,894,20
2013,36047067800,"Census Tract 678, Kings County, New York",946,59,887,407,980,75250,1960,2005,1483,24.6,181,54,344,0,9,887,21
2014,36047067800,"Census Tract 678, Kings County, New York",1009,122,887,411,954,63674,1962,2005,1567,30.1,149,61,350,0,0,887,33
2015,36047067800,"Census Tract 678, Kings County, New York",998,131,867,352,819,63214,1963,2005,1574,30.5,109,30,318,0,4,867,29
2016,36047067800,"Census Tract 678, Kings County, New York",1002,119,883,382,932,65167,1964,2006,1573,29.9,120,53,325,0,4,883,39
2017,36047067800,"Census Tract 678, Kings County, New York",984,84,900,335,864,66917,1964,2006,1607,29.6,81,42,290,0,3,900,38
2018,36047067800,"Census Tract 678, Kings County, New York",955,79,876,304,861,45625,1960,2007,1650,34.8,38,48,251,0,5,876,57
2019,36047067800,"Census Tract 678, Kings County, New York",957,12,945,324,940,47188,1958,2010,1690,36.8,50,23,294,0,7,945,34
2020,36047067800,"Census Tract 678, Kings County, New York",952,0,952,387,1298,61354,1959,2012,1654,31.4,67,17,359,0,0,952,86
2012,36047068000,"Census Tract 680, Kings County, New York",636,57,579,194,743,23902,1939,2006,779,40,30,18,143,8,36,579,75
2013,36047068000,"Census Tract 680, Kings County, New York",613,57,556,225,962,25221,1939,2006,788,41.1,42,24,163,4,50,556,115
2014,36047068000,"Census Tract 680, Kings County, New York",599,23,576,191,822,38594,1939,2006,862,40.6,32,20,139,6,40,576,90
2015,36047068000,"Census Tract 680, Kings County, New York",597,15,582,172,798,58684,1943,2007,947,26.6,34,25,145,2,17,582,70
2016,36047068000,"Census Tract 680, Kings County, New York",607,13,594,148,747,45278,1945,2010,1395,50,15,10,114,15,33,594,50
2017,36047068000,"Census Tract 680, Kings County, New York",616,13,603,187,952,45703,1948,2011,1379,28.2,37,0,165,0,31,603,52
2018,36047068000,"Census Tract 680, Kings County, New York",640,0,640,185,761,NA,0,2012,1650,25.1,35,0,129,0,64,640,0
2019,36047068000,"Census Tract 680, Kings County, New York",684,20,664,252,873,45903,0,2016,1483,42.7,46,0,173,0,93,664,0
2020,36047068000,"Census Tract 680, Kings County, New York",699,19,680,204,634,45917,0,2016,1482,41.2,25,5,122,0,88,680,5
2012,36047068200,"Census Tract 682, Kings County, New York",900,0,900,167,325,41875,1949,2007,1208,40.4,31,12,130,0,25,900,19
2013,36047068200,"Census Tract 682, Kings County, New York",895,20,875,117,233,36157,1960,2009,1160,45.6,24,4,86,0,27,875,4
2014,36047068200,"Census Tract 682, Kings County, New York",893,26,867,130,282,35721,1960,2009,1265,47,7,28,73,0,29,867,12
2015,36047068200,"Census Tract 682, Kings County, New York",901,24,877,188,534,36806,1957,2010,1338,43.7,7,41,119,0,28,877,13
2016,36047068200,"Census Tract 682, Kings County, New York",899,21,878,159,505,NA,1955,2010,1382,36.7,8,36,81,8,26,878,12
2017,36047068200,"Census Tract 682, Kings County, New York",901,36,865,137,423,67688,1958,2009,1403,27.9,8,37,77,15,0,865,23
2018,36047068200,"Census Tract 682, Kings County, New York",893,51,842,117,356,54464,1958,2011,1488,31.1,8,37,58,15,0,842,39
2019,36047068200,"Census Tract 682, Kings County, New York",910,47,863,174,571,NA,0,2013,1735,18.8,67,12,125,13,16,863,23
2020,36047068200,"Census Tract 682, Kings County, New York",950,65,885,216,466,NA,1941,2016,1589,17.5,50,0,74,13,101,885,55
2012,36047068600,"Census Tract 686, Kings County, New York",668,45,623,145,291,44375,1957,2005,1094,36.1,61,49,65,6,25,623,69
2013,36047068600,"Census Tract 686, Kings County, New York",740,57,683,199,450,57361,1955,2006,1333,31.4,72,51,57,23,33,683,70
2014,36047068600,"Census Tract 686, Kings County, New York",730,57,673,202,443,40313,1955,2008,1375,39,80,62,95,22,29,673,107
2015,36047068600,"Census Tract 686, Kings County, New York",737,41,696,245,528,42750,1955,2010,1336,37.6,105,84,95,21,35,696,93
2016,36047068600,"Census Tract 686, Kings County, New York",733,28,705,249,545,41845,1955,2010,1323,38,101,96,80,15,41,705,79
2017,36047068600,"Census Tract 686, Kings County, New York",722,30,692,242,574,43929,1954,2010,1513,38.7,112,92,74,18,46,692,61
2018,36047068600,"Census Tract 686, Kings County, New York",710,47,663,226,546,41442,1955,2010,1214,44,80,107,80,11,50,663,73
2019,36047068600,"Census Tract 686, Kings County, New York",705,75,630,175,362,55787,1950,2009,1230,34.2,39,98,44,7,26,630,53
2020,36047068600,"Census Tract 686, Kings County, New York",688,63,625,181,519,NA,1959,2015,1232,35.6,23,112,41,9,19,625,63
2012,36047068800,"Census Tract 688, Kings County, New York",636,21,615,196,581,49375,1946,2007,1406,29.7,46,44,152,0,49,615,34
2013,36047068800,"Census Tract 688, Kings County, New York",628,32,596,234,666,55441,1945,2006,1348,29.5,54,86,141,0,61,596,30
2014,36047068800,"Census Tract 688, Kings County, New York",626,39,587,187,475,51691,1947,2005,1299,29,51,100,80,0,27,587,31
2015,36047068800,"Census Tract 688, Kings County, New York",624,17,607,196,452,51579,1946,2003,1314,29.4,41,131,56,0,20,607,30
2016,36047068800,"Census Tract 688, Kings County, New York",605,13,592,133,281,57321,1945,2002,1178,26.7,41,90,37,0,20,592,31
2017,36047068800,"Census Tract 688, Kings County, New York",604,23,581,151,311,71932,1953,2002,1289,26.5,41,107,20,0,24,581,47
2018,36047068800,"Census Tract 688, Kings County, New York",596,13,583,110,203,72167,1963,2006,1618,27,34,74,15,0,21,583,28
2019,36047068800,"Census Tract 688, Kings County, New York",609,22,587,121,275,74083,1956,2012,2077,29.5,43,51,39,0,25,587,26
2020,36047068800,"Census Tract 688, Kings County, New York",701,24,677,169,344,74479,1949,2005,1669,37.5,55,34,93,0,37,677,21
2012,36047069000,"Census Tract 690, Kings County, New York",606,17,589,90,175,36328,1951,2005,1319,50,17,53,37,0,0,589,14
2013,36047069000,"Census Tract 690, Kings County, New York",600,28,572,96,176,36638,1953,2003,1183,50,16,60,36,0,0,572,14
2014,36047069000,"Census Tract 690, Kings County, New York",654,42,612,99,200,65391,1962,2005,1434,40.2,16,36,63,0,0,612,7
2015,36047069000,"Census Tract 690, Kings County, New York",659,37,622,151,378,65045,1970,2005,1570,42.9,20,42,94,15,0,622,26
2016,36047069000,"Census Tract 690, Kings County, New York",656,49,607,202,624,75313,1956,2009,1631,25.2,47,38,131,14,19,607,35
2017,36047069000,"Census Tract 690, Kings County, New York",667,37,630,185,582,78964,1956,2009,1451,22.5,48,31,99,17,22,630,47
2018,36047069000,"Census Tract 690, Kings County, New York",665,35,630,214,639,69625,1958,2009,1492,35.3,92,14,155,17,28,630,53
2019,36047069000,"Census Tract 690, Kings County, New York",657,19,638,212,678,71053,1956,2011,1459,28.3,105,12,127,19,56,638,60
2020,36047069000,"Census Tract 690, Kings County, New York",616,17,599,179,663,86050,1959,2014,1491,19.5,90,0,97,0,84,599,29
2012,36047069200,"Census Tract 692, Kings County, New York",839,70,769,266,761,48500,1959,2004,1438,32.1,68,21,213,0,32,769,52
2013,36047069200,"Census Tract 692, Kings County, New York",841,48,793,297,859,50250,1957,2005,1539,30.3,96,26,242,0,29,793,59
2014,36047069200,"Census Tract 692, Kings County, New York",848,44,804,266,774,61339,1954,2006,1500,24.6,91,28,226,0,6,804,65
2015,36047069200,"Census Tract 692, Kings County, New York",854,46,808,316,1194,86250,1954,2009,1669,26.5,156,14,283,9,4,808,36
2016,36047069200,"Census Tract 692, Kings County, New York",857,46,811,316,1174,88864,1954,2010,1622,24.1,162,10,286,9,0,811,15
2017,36047069200,"Census Tract 692, Kings County, New York",849,38,811,288,1129,108750,1953,2011,1679,20.7,152,15,254,10,0,811,9
2018,36047069200,"Census Tract 692, Kings County, New York",860,40,820,272,1019,109792,1955,2011,1699,20,128,23,216,10,6,820,5
2019,36047069200,"Census Tract 692, Kings County, New York",872,38,834,279,949,115078,1956,2012,1778,22.3,125,25,229,11,7,834,3
2020,36047069200,"Census Tract 692, Kings County, New York",908,70,838,191,550,86813,1963,2012,1701,21.9,66,28,143,0,7,838,4
2012,36047069601,"Census Tract 696.01, Kings County, New York",1587,111,1476,702,1864,43176,1974,2005,1375,37.3,204,350,268,0,79,1476,125
2013,36047069601,"Census Tract 696.01, Kings County, New York",1563,125,1438,721,1773,48906,1973,2006,1437,34.8,207,389,262,0,86,1438,176
2014,36047069601,"Census Tract 696.01, Kings County, New York",1621,103,1518,833,2103,50150,1974,2007,1523,35.7,251,359,327,20,180,1518,233
2015,36047069601,"Census Tract 696.01, Kings County, New York",1655,108,1547,898,2011,40978,1973,2007,1476,34.6,224,369,354,14,225,1547,234
2016,36047069601,"Census Tract 696.01, Kings County, New York",1583,58,1525,964,2239,41094,1972,2009,1478,36.4,267,420,369,16,223,1525,214
2017,36047069601,"Census Tract 696.01, Kings County, New York",1545,112,1433,855,1878,57536,1972,2008,1574,33.1,267,362,358,19,193,1433,225
2018,36047069601,"Census Tract 696.01, Kings County, New York",1584,135,1449,873,2008,65069,1969,2011,1726,34.2,352,279,483,19,138,1449,166
2019,36047069601,"Census Tract 696.01, Kings County, New York",1540,177,1363,850,1838,69773,1967,2011,1756,33.7,297,351,485,0,52,1363,96
2020,36047069601,"Census Tract 696.01, Kings County, New York",1552,237,1315,788,1688,58942,1967,2012,1842,36.7,195,305,483,0,37,1315,111
2012,36047069602,"Census Tract 696.02, Kings County, New York",2187,188,1999,597,1637,54458,1970,2005,1433,33.6,122,426,117,0,54,1999,165
2013,36047069602,"Census Tract 696.02, Kings County, New York",2262,162,2100,698,1974,56618,1973,2006,1415,31.8,174,473,172,0,89,2100,132
2014,36047069602,"Census Tract 696.02, Kings County, New York",2302,232,2070,657,1651,56825,1973,2005,1384,28.5,205,411,190,0,87,2070,120
