address,county_fips,boroid,censustract,census_tract,geoid,geoid_nyp
2081 GRAND CONCOURSE,005,2,23501,023501,36005023501,NA
454 FORT WASHINGTON AVENUE,061,1,265,026500,36061026500,36061026500
21 EAST 104TH STREET,061,1,168,016800,36061016800,36061016800
1106 WEST FARMS ROAD,005,2,12701,012701,36005012701,NA
1640 OCEAN PARKWAY B22,047,3,422,042200,36047042200,36047042200
15 CROOKE AVENUE,047,3,50804,050804,36047050804,NA
820 TENTH AVENUE,061,1,139,013900,36061013900,36061013900
4853 44TH STREET,081,4,18501,018501,36081018501,NA
550 W 45TH ST,061,1,129,012900,36061012900,NA
1668 VYSE AVENUE,005,2,161,016100,36005016100,36005016100
119 BRADFORD STREET,047,3,1198,119800,36047119800,36047119800
102 RALPH AVENUE,047,3,385,038500,36047038500,36047038500
1930 DALY AVENUE,005,2,359,035900,36005035900,36005035900
705 E 189TH STREET,005,2,389,038900,36005038900,36005038900
165 WEST 72ND STREET,061,1,157,015700,36061015700,36061015700
250 AR CANAL STREET AKA 246248250,061,1,NA,003100,36061003100,NA
394 DUMONT AVENUE,047,3,910,091000,36047091000,36047091000
125 BEACH 17TH STREET,081,4,101001,101001,36081101001,NA
315 EAST 95TH STREET,061,1,15601,015601,36061015601,NA
109 ELDRIDGE STREET,061,1,18,001800,36061001800,36061001800
6901 62ND ST,081,4,581,058100,36081058100,36081058100
2504 BEACH CHANNEL DRIVE APT 3B,081,4,100802,100802,36081100802,NA
3000 PARK AVENUE,005,2,65,006900,36005006900,36005006500
5202 103RD STREET,081,4,44301,044301,36081044301,NA
169 A BEACH 96TH STREET,081,4,NA,094201,36081094201,NA
141826 CLINTON AVENUE,NA,2,151,NA,36005015100,36005015100
535 WEST 43RD STREET,061,1,129,012900,36061012900,NA
230 DUFFIELD STREET,047,3,15,001500,36047001500,NA
19108 115 ROAD,081,4,NA,052600,36081052600,NA
2395 MORRIS AVE,005,2,239,023900,36005023900,36005023900
412 EAST 81ST STREET,061,1,136,013600,36061013600,NA
114 WEST 238TH STREET,005,2,279,027900,36005027900,36005027900
1785 STORY AVENUE,005,2,42,004200,36005004200,36005004200
620 GATES AVENUE,047,3,277,027700,36047027700,36047027700
212 STARR STREET,047,3,447,044700,36047044700,36047044700
296165 MARION AVE,NA,2,415,NA,36005041500,36005041500
9514 93 STREET,081,4,32,003200,36081003200,36081003200
490 EAST 23RD STREET,047,3,51601,051601,36047051601,NA
514 EAST 83RD STREET,061,1,136,013600,36061013600,NA
2837 MILES AVENUE,005,2,132,013200,36005013200,36005013200
1460 SUTTER AVENUE,047,3,1208,120800,36047120800,NA
186 A NETHERLAND AVE1ST FL BSMT FRONT,085,5,NA,023100,36085023100,NA
3335 PERRY AVENUE,005,2,423,042300,36005042300,36005042300
46 WEST 105TH STREET,061,1,189,018900,36061018900,36061018900
520 CONCORD AVENUE,005,2,35,003500,36005003500,36005003500
1766 SEWARD AVENUE,005,2,20,002000,36005002000,NA
3030 HOLLAND AVENUE,005,2,338,033800,36005033800,NA
2335 MOTT AVENUE 1ST FLOOR OF 2 FAMIL,081,4,NA,100802,36081100802,NA
772 JEFFERSON AVENUE,047,3,383,038300,36047038300,36047038300
2572 TIEMANN AVENUE,005,2,310,031000,36005031000,36005031000
14141 PERSHING CRESCENT,081,4,22002,022002,36081022002,NA
4240 HUTCH RV PKWY E,NA,2,NA,NA,NA,NA
681 SACKMAN STREET,047,3,918,091800,36047091800,36047091800
2906 21 AVE,081,4,113,011300,36081011300,36081011300
2065 E 54TH STREET,047,3,670,067000,36047067000,36047067000
1060 BERGEN AVENUE,047,3,69601,069602,36047069602,NA
601 WEST 192ND ST,061,1,279,027900,36061027900,36061027900
8904 148TH STREET,081,4,240,024000,36081024000,36081024000
1033 AVENUE ST JOHN,005,2,83,008300,36005008300,36005008300
16319 59TH AVE,081,4,1215,121500,36081121500,36081121500
3 VERONA PLACE,047,3,249,024900,36047024900,36047024900
25462548 7TH AVENUE,NA,1,234,NA,36061023400,36061023400
6738 C 190TH LANE,081,4,1347,134700,36081134700,NA
2855 GRAND CONCOURSE,005,2,40701,040701,36005040701,NA
91 LAUREL AVENUE FRONT ENTRANCE,085,5,NA,002900,36085002900,NA
666 EAST 233 STREET,005,2,420,042000,36005042000,36005042000
20616 86TH ROAD,081,4,492,049200,36081049200,NA
229 WEST 78TH ST,061,1,167,016700,36061016700,36061016700
8925 ELMHURST AVENUE,081,4,271,027100,36081027100,NA
145 ROCHESTER AVE2ND FLR RM A,047,3,NA,030700,36047030700,NA
2730 DECATUR AVENUE,005,2,40502,040502,36005040502,NA
50 E 191 ST,005,2,401,040100,36005040100,36005040100
218 W 141 ST STREET,061,1,NA,023000,36061023000,NA
94 WYONA STREET,047,3,1198,119800,36047119800,36047119800
229 65TH STREET,047,3,22,002200,36047002200,36047002200
592 NOSTRAND AVENUE,047,3,315,031500,36047031500,36047031500
1125 EVERGREEN AVE,005,2,52,005200,36005005200,36005005200
27 EAST 169TH STREET,005,2,22101,022101,36005022101,NA
771 EAST 39TH STREET,047,3,782,078200,36047078200,36047078200
2818 BRONX PARK EAST,005,2,336,033600,36005033600,NA
1346 EAST 104TH ST,047,3,1020,102000,36047102000,36047102000
149 FILLMORE ST,085,5,81,008100,36085008100,36085008100
678 SAGAMORE ST,005,2,220,022000,36005022000,36005022000
6037 56TH ROADA,NA,4,NA,NA,NA,NA
3432 43RD ST,081,4,159,015900,36081015900,36081015900
9467 224TH STREET,081,4,568,056800,36081056800,36081056800
4875 HYLAN BLVD,085,5,176,017600,36085017600,36085017600
193 BEACH 29TH ST,081,4,99802,099802,36081099802,NA
934 OGDEN AVENUE,005,2,189,018900,36005018900,36005018900
65 EAST 190TH STREET,005,2,401,040100,36005040100,36005040100
355 EAST 48TH STREET,047,3,870,087000,36047087000,36047087000
515 WEST 139TH ST,061,1,225,022500,36061022500,36061022500
1020 TIFFANY STREET,005,2,12701,012701,36005012701,NA
105 LEFFERTS PL,047,3,227,022700,36047022700,36047022700
8308 155TH AVE,081,4,6202,006202,36081006202,NA
221 WEST 105TH ST,061,1,191,019100,36061019100,36061019100
486 BROOKLYN AVENUE,047,3,329,032900,36047032900,36047032900
1909 21ST AVENUE,081,4,105,010500,36081010500,36081010500
535 HINSDALE STREET,047,3,1130,113000,36047113000,36047113000
4374 CARPENTER AVE,005,2,418,041800,36005041800,36005041800
558 LEXINGTON AVENUE,047,3,279,027900,36047027900,36047027900
14216 116TH AVENUE,081,4,186,018600,36081018600,36081018600
387 EAST MOSHOLU PKW Y NORTH,005,2,NA,042500,36005042500,NA
1243 CHISHOLM STREET,005,2,125,012500,36005012500,36005012500
9229 165TH STREET,081,4,444,044400,36081044400,36081044400
12016 178TH PLACE,081,4,368,036800,36081036800,36081036800
66 CRESCENT STREET,047,3,117602,117602,36047117602,NA
25 MONTGOMERY ST,061,1,202,000202,36061000202,NA
502 WEST 213TH STREET,061,1,303,030300,36061030300,36061030300
29 EAST MOSHOLU PARK WAY NORTH,005,2,NA,041900,36005041900,NA
864 HEWITT PLACE,005,2,87,008700,36005008700,36005008700
3862 BROADWAYSTORE 3,061,1,NA,024500,36061024500,NA
287 CLINTON AVENUE 1ST FLOOR,047,3,197,019700,36047019700,36047019700
502 WEST 149TH STREET,061,1,233,023300,36061023300,36061023300
180 EAST 162ND ST,005,2,18301,018301,36005018301,NA
385 GERARD AVENUE UNIT/SPACE 4672A,005,2,63,006300,36005006300,NA
427 LINDEN BLVD,047,3,816,081600,36047081600,36047081600
130 HUMBOLDT STREET,047,3,493,049300,36047049300,NA
1900 LEXINGTON AVENUE,061,1,182,018200,36061018200,36061018200
693 EAST 236TH STREET,005,2,418,041800,36005041800,36005041800
6208 MYRTLE AVENUE FRONT APARTMENT,081,4,NA,057700,36081057700,NA
1337 EDWARD L GRANT HWY,005,2,211,021100,36005021100,36005021100
796 LINCOLN PL,047,3,31702,031702,36047031702,NA
150 TRANTOR PLACE,085,5,247,024700,36085024700,36085024700
307 SOUTH AVENUE,085,5,31901,031901,36085031901,NA
320 E 109TH ST,061,1,170,017000,36061017000,36061017000
12022 MARSDEN STREET,081,4,284,028400,36081028400,36081028400
3315 HULL AVEA/K/ A 33113315 HULL AVE,NA,2,42902,NA,NA,NA
629 EAST 229TH STREET,005,2,420,042000,36005042000,36005042000
165 CONOVER STREET,047,3,53,005300,36047005300,NA
540 ROCKAWAY PARKWAY,047,3,890,089000,36047089000,36047089000
100102 FORSYTH STREET LOWER LEVEL COMMERCIAL RETAIL RETAIL SPACE AND OUTDOOR GARDEN,NA,1,NA,NA,NA,NA
14639 SOUTH ROAD 1ST FLOOR,081,4,204,020400,36081020400,36081020400
1125 127TH STREET,081,4,947,094700,36081094700,36081094700
1366 ST JOHNS PLAC E AKA 13641366 ST,NA,3,NA,NA,NA,NA
12906 LIBERTY AVENUE,081,4,15801,015801,36081015801,NA
710 EAST 9TH STREET,061,1,2602,002602,36061002602,NA
3325 NEPTUEN AVENUE,047,3,NA,033000,36047033000,NA
90B NEW LOTS AVENUE,047,3,920,092000,36047092000,36047092000
926 EAST 80TH STREET,047,3,956,095600,36047095600,36047095600
2955 GRAND CONCOURSE AKA 29512955,005,2,411,041100,36005041100,36005041100
87 LOCKMAN AVENUE,085,5,31902,031902,36085031902,NA
3335 76TH STREET,081,4,287,028700,36081028700,36081028700
1895 MORRIS AVENUE,005,2,23301,023301,36005023301,NA
8925A QUEENS BOULEV ARD,081,4,683,068300,36081068300,36081068300
401 BRONX RIVER AVE,NA,2,20,NA,NA,NA
700 MORRIS AVENUE,005,2,NA,006700,36005006700,NA
225 WORTMAN AVENUE,047,3,1106,110600,36047110600,36047110600
655 EAST 230 STREET,005,2,420,042000,36005042000,36005042000
347 CHAUNCEY STREET,047,3,379,037900,36047037900,36047037900
6722 14TH AVENUE,047,3,196,019600,36047019600,36047019600
101 WEST 24TH STREET,061,1,91,009100,36061009100,36061009100
4610 CENTER BLVD,081,4,1,000100,36081000100,NA
5100 KINGS PLAZA,047,3,698,093200,36047093200,36047069800
446 WATCHOGUE ROAD,085,5,251,025100,36085025100,36085025100
89 CROOKE AVENUE,047,3,50804,050804,36047050804,NA
81158119 FOSTER AVE,NA,3,960,NA,36047096000,36047096000
2110 FIRST AVENUE,061,1,162,016200,36061016200,36061016200
528 HOWARD AVENUE,085,5,39,003900,36085003900,36085003900
4720 40TH STREET,081,4,189,018900,36081018900,36081018900
509 WEST 152ND STREET,061,1,237,023700,36061023700,36061023700
354B BROOME STREET UNIT #2 A/K/A STORE,061,1,NA,004100,36061004100,NA
2555 GRAND CONCOURSE,005,2,401,040100,36005040100,36005040100
1234 SHAKESPEARE AVE,005,2,199,019900,36005019900,36005019900
7806 KNEELAND AVE2ND FL APT,081,4,NA,047900,36081047900,NA
512 TOMPKINS AVE,085,5,36,003600,36085003600,36085003600
1404 BEDFORD AVENUE,047,3,221,022100,36047022100,36047022100
611 WEST 137 STREET,061,1,22301,022301,36061022301,NA
51 SENECA STREET,085,5,105,010500,36085010500,36085010500
1548 EAST NY AVE,047,3,NA,090600,36047090600,NA
1750 SEDGWICK AVE,005,2,20502,020502,36005020502,NA
1061 E 94TH ST,047,3,968,096800,36047096800,36047096800
1544 ST MARKS AVEAPT 2 ENTIRE 2ND FL,047,3,NA,036300,36047036300,NA
268 VOGEL AVENUE FRONT ENTRANCE,085,5,NA,020803,36085020803,NA
473 WILSON AVENUE,047,3,437,043700,36047043700,36047043700
555 OVINGTON AVENUE,047,3,130,013000,36047013000,36047013000
167 BERRIMAN STREET,047,3,1192,119200,36047119200,36047119200
460 MADISON STREET,047,3,277,027700,36047027700,36047027700
800 EAST 223RD ST,005,2,396,039600,36005039600,36005039600
5020 103RD STREET,081,4,44301,044301,36081044301,NA
3086 32ND ST,081,4,63,006300,36081006300,36081006300
2580305 HILLSIDE AVENUE,NA,4,NA,NA,NA,NA
2108 CHATTERTON AVE,005,2,78,007800,36005007800,36005007800
2191 BOLTON STREET,005,2,22401,022401,36005022401,NA
3339 HULL AVENUE,005,2,42902,042902,36005042902,NA
910 81ST STREET,047,3,140,014000,36047014000,36047014000
6740 C 193RD LANE,081,4,1347,134700,36081134700,NA
324 MONTGOMERY ST,047,3,323,032300,36047032300,36047032300
2075 CRESTON AVENUE,005,2,241,024100,36005024100,36005024100
10440 QUEENS BLVD,081,4,71305,071305,36081071305,NA
1632 HUTCHINSON RIVER PKWY,005,2,26601,026601,36005026601,NA
3751 86TH STREET,081,4,279,027900,36081027900,36081027900
661 WEST 179TH ST,061,1,263,026300,36061026300,36061026300
10605 GLENWOOD ROAD,047,3,982,098200,36047098200,36047098200
3540 DEKALB AVE,005,2,431,043100,36005043100,NA
185 PARKHILL AVE,085,5,40,004000,36085004000,NA
974 SHERIDAN AVENUE,005,2,18302,018302,36005018302,NA
8020 BAY PARKWAY,047,3,270,027000,36047027000,36047027000
21228 MURDOCK AVENUE,081,4,53401,053401,36081053401,NA
1720 BEDFORD AVENUE,047,3,NA,032500,36047032500,NA
15039 75TH AVENUE,081,4,77908,077908,36081077908,NA
6536 99TH STREET,081,4,71304,071304,36081071304,NA
11512 9TH AVENUE,081,4,929,092900,36081092900,36081092900
1996 62ND STREET,047,3,254,025400,36047025400,36047025400
981 PARK PLACE,047,3,341,034100,36047034100,36047034100
1088 WASHINGTON AVE,005,2,185,018500,36005018500,NA
2311 SOUTHERN BLVD,005,2,393,039300,36005039300,36005039300
1098 WOODYCREST AVEUNIT 2,005,2,193,019300,36005019300,36005019300
3906 62ND STREET,081,4,261,026100,36081026100,36081026100
1351 ST JOHNS PLACE,047,3,351,035100,36047035100,NA
536 E96TH STREET,047,3,890,089000,36047089000,36047089000
2238 HUGHES AVENUE,005,2,391,039100,36005039100,36005039100
82 PROSPECT AVENUE ENTIRE HOUSE INCLUSI,085,5,NA,007700,36085007700,NA
2041 5TH AVENUE,061,1,206,020600,36061020600,36061020600
870 WOODWARD AVENUE,081,4,551,055100,36081055100,36081055100
1165 EAST 54TH ST,047,3,728,072800,36047072800,36047072800
2055 SEAGIRT BOULEVARD,081,4,99802,099802,36081099802,NA
34 WEST 32ND ST,061,1,76,007600,36061007600,36061007600
832 BELMONT AVE,047,3,1194,119400,36047119400,36047119400
3406 82ND STREET,081,4,283,028300,36081028300,36081028300
878 BRYANT AVENUE,005,2,11502,011502,36005011502,NA
1888 JEROME AVENUE,005,2,23301,023301,36005023301,NA
534 PUTNAM AVENUE,047,3,275,027500,36047027500,36047027500
8815 168TH STREET,081,4,460,046000,36081046000,36081046000
19 WEST 137TH STREET,061,1,212,021200,36061021200,36061021200
4190 BEDFORD AVENUE,047,3,576,057600,36047057600,36047057600
304 WEST 149TH ST,061,1,259,025900,36061025900,36061025900
161 AVENUE P,047,3,430,043000,36047043000,36047043000
314 BEACH 86TH ST,081,4,94202,094202,36081094202,NA
1137 STLAWRENCE AVE,005,2,70,007000,36005007000,36005007000
429 EAST 153RD ST,005,2,67,006700,36005006700,36005006700
1500 POPHAM AVENUE,005,2,20501,020501,36005020501,NA
551 WALES AVEAKA 757777 E 149TH ST,005,2,73,007300,36005007300,36005007300
1934 UNIVERSITY AVE A/K/A 1934 DR M L KING JR BLVD,005,2,243,024300,36005024300,36005024300
1760 STORY AVENUE,005,2,42,004200,36005004200,36005004200
13342 37 AVENUE,081,4,871,087100,36081087100,36081087100
1406 TOWNSEND AVENUE BASEMENT,005,2,NA,022300,36005022300,NA
604 BRADFORD STREET,047,3,1126,112600,36047112600,36047112600
355 WEST 51ST STREET,NA,1,133,NA,36061013300,36061013300
1552 71ST STREET,047,3,190,019000,36047019000,36047019000
94 JOHN STREET,085,5,207,020700,36085020700,NA
238 E 116 STREET,061,1,188,018800,36061018800,36061018800
416 WEST 33RD STREET ROOM 402,061,1,76,010300,36061010300,36061007600
10907 LIBERTY AVE,081,4,98,009800,36081009800,36081009800
102 FORSYTH STREET UNIT C AKA SOUTHERNMOST RETAIL STORE,061,1,18,001800,36061001800,36061001800
626 RIVERSIDE DRIVE,061,1,225,022500,36061022500,36061022500
2316 UNIVERSITY AVENUE,005,2,253,025300,36005025300,36005025300
320 EASTERN PARKWAY,047,3,213,021300,36047021300,36047021300
2522 UNIVERSITY AVENUE,005,2,265,026500,36005026500,36005026500
206 GRANDVIEW AVENUE,085,5,31902,031902,36085031902,NA
7046 BROADWAY,081,4,265,026500,36081026500,NA
1041 BUSHWICK AVENUE,047,3,399,039900,36047039900,36047039900
756 MYRTLE AVENUE,047,3,253,025300,36047025300,36047025300
1801 ASTORIA BOULEVARD,081,4,83,008300,36081008300,36081008300
1368 WEBSTER AVENUE,005,2,14701,014701,36005014701,NA
2170 UNIVERSITY AVEAKA 2170 DR ML KING BLVD,005,2,251,025100,36005025100,36005025100
2266 FREDERICK DOUGLAS BLVD,061,1,220,022000,36061022000,36061022000
875 LONGFELLOW AVESPC#15,005,2,11502,011502,36005011502,NA
934 E 179TH ST,005,2,363,036300,36005036300,36005036300
692 ALABAMA AVENUE,047,3,1130,113000,36047113000,36047113000
340 EAST 207TH ST,005,2,42901,042901,36005042901,NA
661 RALPH AVENUE,047,3,900,090000,36047090000,36047090000
123 FATHER ZEISER PLACE,005,2,263,026300,36005026300,36005026300
745 EAST 231ST STREET,005,2,422,042200,36005042200,36005042200
3848 SICKLES STREET,NA,1,285,NA,36061028500,36061028500
1360 NELSON AVENUE,005,2,211,021100,36005021100,36005021100
99 BOWERY,NA,1,16,NA,36061001600,36061001600
914 DUMONT AVENUE,047,3,1124,112400,36047112400,36047112400
900 OGDEN AVEPARKING SPACE #0G16,005,2,NA,018900,36005018900,NA
1 WEST 182ND STREET,005,2,239,023900,36005023900,36005023900
333 EAST 17TH STREET APT# 4A,061,1,48,004800,36061004800,36061004800
294 LINDEN STREET,047,3,433,043300,36047043300,36047043300
9705 HORACE HARDING EXPRESSWAY LOT U SPACE #34 ARGENTINE BUILDING,081,4,NA,045500,36081045500,NA
16640 89TH AVE,081,4,460,046000,36081046000,36081046000
1096 BROADWAY,047,3,289,028900,36047028900,36047028900
54 CRESCENT STREET,047,3,117602,117602,36047117602,NA
1745 AMSTERDAM AVE,061,1,231,023100,36061023100,36061023100
735 EAST 242 STREET,005,2,442,044200,36005044200,36005044200
18235 JAMAICA AVENUE,081,4,470,047000,36081047000,36081047000
2032 MADISON AVEAK A 32 EAST 129TH STRE,NA,1,206,NA,36061020600,36061020600
373 BLEECKER STREET BASEMENT APT,047,3,NA,044100,36047044100,NA
99 FEATHERBED LANE,005,2,21502,021502,36005021502,NA
24092411 BEAUMONT AVE,NA,2,389,NA,36005038900,36005038900
1098 WOODYCREST AVE UNIT 3,005,2,193,019300,36005019300,36005019300
87 CLAY STREET APT 11,047,3,579,057900,36047057900,NA
1366 HERKIMER STREET,047,3,369,036900,36047036900,36047036900
738 EAST 182ND ST,005,2,371,037100,36005037100,36005037100
15 WEST 47TH STREET,061,1,96,009600,36061009600,36061009600
259 WEST 152ND ST,061,1,236,023600,36061023600,36061023600
362 EAST 167TH STREET,005,2,175,017500,36005017500,36005017500
9306 95TH STREET,081,4,20,002000,36081002000,36081002000
4136 MAIN STREET,081,4,849,084900,36081084900,NA
2055 HARRISON AVE,005,2,251,025100,36005025100,36005025100
2148 HAVILAND AV2ND FL,005,2,NA,007800,36005007800,NA
1425 NEEDHAM AVENUE,005,2,386,038600,36005038600,36005038600
2511 ATLANTIC AVE,047,3,1144,114400,36047114400,36047114400
831 ALBANY AVENUE,047,3,814,081400,36047081400,36047081400
2976 MARION AVENUE,005,2,415,041500,36005041500,36005041500
1385 YORK AVENUE,061,1,124,012400,36061012400,36061012400
13981 35TH AVE,081,4,1161,116100,36081116100,36081116100
105 WEST 104TH ST,061,1,189,018900,36061018900,36061018900
1362 NEW YORK AVENUE,047,3,830,083000,36047083000,36047083000
17836 WEXFORD TERRACE,081,4,466,046600,36081046600,36081046600
19036 99TH AVENUE,081,4,50201,050201,36081050201,NA
14845 89TH AVENUE,081,4,238,023800,36081023800,36081023800
192 MOTT STREET,061,1,41,004100,36061004100,36061004100
1201 BROADWAY,061,1,76,007600,36061007600,36061007600
1374 OCEAN AVENUE,047,3,764,076400,36047076400,36047076400
682 GEORGIA AVENUE,047,3,1130,113000,36047113000,36047113000
300 EAST 74TH STREET,061,1,126,012600,36061012600,NA
596 EDGECOMBE AVENUE,NA,1,24301,NA,NA,NA
16310 SAYRES AVENUE,081,4,264,026400,36081026400,36081026400
417 WEST 47TH STREET,061,1,127,012700,36061012700,36061012700
6037 68TH AVENUE,081,4,585,058500,36081058500,36081058500
157 WILSON AVENUE,047,3,429,042900,36047042900,36047042900
856 EAST 213TH ST,005,2,380,038000,36005038000,36005038000
236 NEW JERSEY AVE,047,3,1144,114400,36047114400,36047114400
11 WEST 131ST STREET,061,1,208,020800,36061020800,36061020800
4105 FTHAMILTON PKWY,047,3,224,022400,36047022400,36047022400
717 EAST NEW YORK AVE,047,3,87401,087401,36047087401,NA
2309 31ST AVENUE,081,4,73,007300,36081007300,36081007300
1724 AMSTERDAM AVLOCKSMITH STORE,061,1,NA,022900,36061022900,NA
30 A ERIKA LOOP TWO ROOMCOMBINATION,085,5,NA,017007,36085017007,NA
2015 BATH AVENUE,047,3,286,028600,36047028600,36047028600
2147 STARLING AVENUE,005,2,222,022200,36005022200,36005022200
1 IRVING PLACE UNIT G7H,061,1,50,005000,36061005000,36061005000
241 BEACH 118TH ST,081,4,93402,093402,36081093402,NA
2144 LACOMBE AVE,005,2,84,008400,36005008400,36005008400
336 53RD STREET,047,3,76,007600,36047007600,36047007600
1471 WATSON AVENUE,005,2,52,005200,36005005200,36005005200
2295 WEST 11TH ST,047,3,382,038200,36047038200,36047038200
220 36TH STBLDG#2 IND/CITY BUSH TERM,047,3,NA,000200,36047000200,NA
5426 152ND STREET,081,4,837,083700,36081083700,36081083700
265 MILL ROAD,085,5,12806,012806,36085012806,NA
1935 MONTEREY AVENUE,005,2,37504,037504,36005037504,NA
611 WEST 152ND STREET,061,1,237,023700,36061023700,36061023700
6364 75TH STREET,081,4,661,066100,36081066100,36081066100
1695 GRAND CONCOURSE,005,2,22701,022701,36005022701,NA
3756 74TH ST,081,4,289,028900,36081028900,36081028900
4128 CARPENTER AVENUE,005,2,420,042000,36005042000,36005042000
85 8TH AVENUE,061,1,83,008300,36061008300,36061008300
9940 63RD ROAD GARAGE SP #R087,081,4,NA,072100,36081072100,NA
1159 229TH DRIVE NORTH,005,2,458,045800,36005045800,36005045800
3916 PRINCE STREET,NA,4,871,NA,36081087100,36081087100
153 EAST 184 ST,005,2,23703,023703,36005023703,NA
580 EAST 21ST ST,047,3,51602,051602,36047051602,NA
955 E 233RD ST,005,2,426,042600,36005042600,36005042600
885 PARK AVENUE,047,3,28501,028501,36047028501,NA
140 DE KRUIF PLACE,005,2,46201,046201,36005046201,NA
7512 35TH AVENUE,081,4,287,028700,36081028700,36081028700
946 SHERMAN AVENUE,005,2,18302,018302,36005018302,NA
2598 36TH STREET,081,4,6502,006502,36081006502,NA
535 HAVEMEYER AVE,005,2,90,009000,36005009000,36005009000
472 SUTTER AVENUE,047,3,1134,113400,36047113400,36047113400
2414 BELMONT AVENUE,005,2,389,038900,36005038900,36005038900
288 EAST 168TH STREET,005,2,175,017500,36005017500,36005017500
3230 CRUGER AVENUE,005,2,374,037400,36005037400,36005037400
2104 DAVIDSON AVENUE,005,2,251,025100,36005025100,36005025100
1717 UNIONPORT ROAD,005,2,236,023600,36005023600,36005023600
1470 STERLING PLACE,047,3,349,034900,36047034900,NA
786 GARDEN STREET,005,2,393,039300,36005039300,36005039300
3220 AVENUE H,047,3,776,077600,36047077600,36047077600
78 STPAULS AVENUE FRONT ENTRANCE,085,5,NA,001700,36085001700,NA
492 LIPSETT AVEFRONT ENTRANCE APT2L,085,5,NA,017600,36085017600,NA
519 HYLAN BLVD REAR ENTRANCE,085,5,NA,003600,36085003600,NA
133 WEST 113TH ST,061,1,216,021600,36061021600,36061021600
6030 MADISON STREET,081,4,587,058700,36081058700,36081058700
37 FEATHERBED LANE,005,2,217,021502,36005021502,36005021700
2037 WEBSTER AVENUE,005,2,379,037900,36005037900,36005037900
2098 RYER AVENUE,005,2,381,038100,36005038100,36005038100
75 LENOX ROAD,047,3,79602,079602,36047079602,NA
89 GRATTAN STREET,047,3,453,045300,36047045300,36047045300
119 MACON ST,047,3,249,024900,36047024900,36047024900
466 WEST 150TH ST,061,1,231,023100,36061023100,36061023100
227 DYCKMAN STREET CMMRCIAL,061,1,NA,029500,36061029500,NA
1417 118 STREET,081,4,929,092900,36081092900,36081092900
155 WEST 162 STREET,005,2,189,018900,36005018900,36005018900
6242 WOODHAVEN BLVD,081,4,679,067900,36081067900,36081067900
2187 HOLLAND AVENUE,005,2,22403,022403,36005022403,NA
366 CONCORD AVE,005,2,33,003300,36005003300,36005003300
2511 ATLANTIC AVENUE,047,3,1144,114400,36047114400,36047114400
1938 E TREMONT AVE,005,2,21001,021001,36005021001,NA
74 TARGEE STREET,085,5,21,002100,36085002100,36085002100
3044 FENTON AVENUE,005,2,358,035800,36005035800,36005035800
144 BRUCKNER BLVD,005,2,19,001900,36005001900,NA
11011 56TH AVENUE,081,4,427,042700,36081042700,36081042700
13046 226TH STREET,081,4,630,063000,36081063000,36081063000
530 E 138TH ST,005,2,25,002500,36005002500,36005002500
797 CROTONA PARK NOR TH,005,2,NA,036700,36005036700,NA
168 WEST 86 STREET,061,1,169,016900,36061016900,36061016900
1610 43 STREET,047,3,478,047800,36047047800,36047047800
535 WEST 160TH ST,061,1,245,024500,36061024500,36061024500
1373 STERLING PLACE,047,3,345,034500,36047034500,36047034500
1420 FREEPORT LOOP,047,3,105804,105804,36047105804,NA
773 CONCOURSE VILLAGE EAST,005,2,61,006100,36005006100,36005006100
3616 BRONX BLVD,005,2,378,037800,36005037800,36005037800
1490 DUMONT AVENUE,047,3,1208,120800,36047120800,NA
47 CATHERINE STREET,061,1,8,000800,36061000800,36061000800
10306 FARMERS BLVD,081,4,404,040400,36081040400,36081040400
256 SULLIVAN PLACE,047,3,321,032100,36047032100,36047032100
491 HART STREET 2ND FLRLEFT,047,3,NA,039300,36047039300,NA
606 NEW LOTS AVENUE APT# 2,047,3,1122,112200,36047112200,36047112200
2910 WALLACE AVENUE,005,2,340,034000,36005034000,36005034000
3260 CRUGER AVENUE,005,2,372,037200,36005037200,36005037200
26 ASTER COURT,047,3,628,062800,36047062800,36047062800
1214 5TH AVENUE,061,1,168,016800,36061016800,36061016800
4662 PARK AVEAKA 444 E 187 STLAUNDROMAT,005,2,385,038500,36005038500,36005038500
2509 HOFFMAN STREET,005,2,387,038700,36005038700,36005038700
234 E 176 STREET,005,2,22901,022901,36005022901,NA
680 EAST 235TH ST,005,2,418,041800,36005041800,36005041800
9841 QUEENS BOULEVA RD,NA,4,NA,NA,NA,NA
6711 BELL BLVD,081,4,1367,136700,36081136700,36081136700
17651767 PARK AVE,NA,1,196,NA,36061019600,36061019600
2055 ROCKAWAY PARKWA,047,3,NA,103400,36047103400,NA
4846 47TH STREET,081,4,235,023500,36081023500,NA
1036 BAY 31 STREET,081,4,100802,100802,36081100802,NA
590 OCEAN AVE,047,3,51002,051002,36047051002,NA
155B WATERBURY AVEBSMT/SIDE APT,085,5,NA,019800,36085019800,NA
930 EAST 4TH WALK,NA,1,20,NA,36061002000,36061002000
1210 STRATFORD AVE,005,2,62,006200,36005006200,36005006200
9715 HORACE HARDING EXPWY,081,4,455,045500,36081045500,36081045500
600 W 150TH ST AKA 36313643 BROADWAY,061,1,233,023300,36061023300,36061023300
10015 90TH AVENUE,081,4,28,002800,36081002800,36081002800
170 SCHOFIELD STREET,005,2,516,051600,36005051600,NA
4001 VERNON BOULEVARD,081,4,25,002500,36081002500,36081002500
